Workflow id,Search id,Formula,Polar id,Nonpolar id,Polar Spacegroup,Nonpolar Spacegroup,Polarization,Energy Difference,Max Distortion,Band Gap
<a href="candidate.html?wfid=wfid_1562199296.49909393">wfid_1562199296.49909393</a>,211,Eu2GeSe4,<a href="https://materialsproject.org/materials/mp-629088/">mp-629088</a>,<a href="https://materialsproject.org/materials/mp-505740/">mp-505740</a>,4,11,--,0.016,0.405,0.017
<a href="candidate.html?wfid=wfid_1562199296.78790598">wfid_1562199296.78790598</a>,58,Ba3C5Ce2F2O15,<a href="https://materialsproject.org/materials/mp-667381/">mp-667381</a>,<a href="https://materialsproject.org/materials/mp-581090/">mp-581090</a>,3,12,--,--,--,--
<a href="candidate.html?wfid=wfid_1562199297.04974693">wfid_1562199297.04974693</a>,152,CeKS4Si,<a href="https://materialsproject.org/materials/mp-22809/">mp-22809</a>,<a href="https://materialsproject.org/materials/mp-11170/">mp-11170</a>,4,11,--,0.000,0.303,0.000
<a href="candidate.html?wfid=wfid_1562345061.12554914">wfid_1562345061.12554914</a>,236,Fe7S8,<a href="https://materialsproject.org/materials/mp-850411/">mp-850411</a>,<a href="https://materialsproject.org/materials/mp-685128/">mp-685128</a>,4,14,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345061.66535445">wfid_1562345061.66535445</a>,227,F7LiMn2,<a href="https://materialsproject.org/materials/mp-765204/">mp-765204</a>,<a href="https://materialsproject.org/materials/mp-763085/">mp-763085</a>,4,14,--,-0.013,0.900,0.446
<a href="candidate.html?wfid=wfid_1562345062.25044610">wfid_1562345062.25044610</a>,237,FeHO2,<a href="https://materialsproject.org/materials/mp-625314/">mp-625314</a>,<a href="https://materialsproject.org/materials/mp-625269/">mp-625269</a>,4,19,--,-0.014,2.073,2.046
<a href="candidate.html?wfid=wfid_1562345062.47321464">wfid_1562345062.47321464</a>,238,FeHO2,<a href="https://materialsproject.org/materials/mp-625314/">mp-625314</a>,<a href="https://materialsproject.org/materials/mp-605437/">mp-605437</a>,4,62,--,-0.017,1.986,2.043
<a href="candidate.html?wfid=wfid_1562345062.80425054">wfid_1562345062.80425054</a>,177,CoLiO4P,<a href="https://materialsproject.org/materials/mp-761753/">mp-761753</a>,<a href="https://materialsproject.org/materials/mp-18915/">mp-18915</a>,4,62,--,-0.038,1.025,2.620
<a href="candidate.html?wfid=wfid_1562345062.93664125">wfid_1562345062.93664125</a>,333,LiNiO4P,<a href="https://materialsproject.org/materials/mp-763217/">mp-763217</a>,<a href="https://materialsproject.org/materials/mp-25614/">mp-25614</a>,4,62,--,-0.001,0.077,3.949
<a href="candidate.html?wfid=wfid_1562345063.43801573">wfid_1562345063.43801573</a>,318,Li3Mg,<a href="https://materialsproject.org/materials/mp-976139/">mp-976139</a>,<a href="https://materialsproject.org/materials/mp-976254/">mp-976254</a>,25,221,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345064.33652828">wfid_1562345064.33652828</a>,159,Cl3CuRb,<a href="https://materialsproject.org/materials/mp-571305/">mp-571305</a>,<a href="https://materialsproject.org/materials/mp-568857/">mp-568857</a>,5,15,--,0.000,0.052,0.301
<a href="candidate.html?wfid=wfid_1562345064.81349297">wfid_1562345064.81349297</a>,157,Cl3CrRb,<a href="https://materialsproject.org/materials/mp-568864/">mp-568864</a>,<a href="https://materialsproject.org/materials/mp-30027/">mp-30027</a>,5,15,--,-0.001,0.138,0.471
<a href="candidate.html?wfid=wfid_1562345065.32859164">wfid_1562345065.32859164</a>,103,BrMnSbSe2,<a href="https://materialsproject.org/materials/mp-639335/">mp-639335</a>,<a href="https://materialsproject.org/materials/mp-655834/">mp-655834</a>,6,55,--,0.015,0.906,0.415
<a href="candidate.html?wfid=wfid_1562345069.50145207">wfid_1562345069.50145207</a>,199,Cu4LiO12P3,<a href="https://materialsproject.org/materials/mp-761193/">mp-761193</a>,<a href="https://materialsproject.org/materials/mp-26741/">mp-26741</a>,9,15,--,-0.046,1.810,0.000
<a href="candidate.html?wfid=wfid_1562345070.07733415">wfid_1562345070.07733415</a>,55,Ba2Co4Nd2O11,<a href="https://materialsproject.org/materials/mp-561781/">mp-561781</a>,<a href="https://materialsproject.org/materials/mp-24879/">mp-24879</a>,25,47,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345070.20398004">wfid_1562345070.20398004</a>,319,LiMn4O12P3,<a href="https://materialsproject.org/materials/mp-32021/">mp-32021</a>,<a href="https://materialsproject.org/materials/mp-853253/">mp-853253</a>,9,15,--,0.024,1.319,2.559
<a href="candidate.html?wfid=wfid_1562345071.34228519">wfid_1562345071.34228519</a>,233,Fe3O4,<a href="https://materialsproject.org/materials/mp-715275/">mp-715275</a>,<a href="https://materialsproject.org/materials/mp-541907/">mp-541907</a>,26,57,--,0.056,1.410,0.603
<a href="candidate.html?wfid=wfid_1562345071.67063249">wfid_1562345071.67063249</a>,234,Fe3O4,<a href="https://materialsproject.org/materials/mp-715275/">mp-715275</a>,<a href="https://materialsproject.org/materials/mp-18731/">mp-18731</a>,26,63,--,-0.000,0.058,0.603
<a href="candidate.html?wfid=wfid_1562345073.27618989">wfid_1562345073.27618989</a>,216,F4FeLi,<a href="https://materialsproject.org/materials/mp-777891/">mp-777891</a>,<a href="https://materialsproject.org/materials/mp-778352/">mp-778352</a>,31,62,--,0.004,1.672,2.939
<a href="candidate.html?wfid=wfid_1562345076.59705060">wfid_1562345076.59705060</a>,198,Cu3Mo2O9,<a href="https://materialsproject.org/materials/mp-649957/">mp-649957</a>,<a href="https://materialsproject.org/materials/mp-639719/">mp-639719</a>,33,62,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345077.40124852">wfid_1562345077.40124852</a>,412,Te5U,<a href="https://materialsproject.org/materials/mp-651772/">mp-651772</a>,<a href="https://materialsproject.org/materials/mp-28500/">mp-28500</a>,33,62,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345077.64486953">wfid_1562345077.64486953</a>,239,FeHO2,<a href="https://materialsproject.org/materials/mp-625268/">mp-625268</a>,<a href="https://materialsproject.org/materials/mp-625233/">mp-625233</a>,33,62,--,0.001,1.848,1.972
<a href="candidate.html?wfid=wfid_1562345078.08008077">wfid_1562345078.08008077</a>,240,FeHO2,<a href="https://materialsproject.org/materials/mp-625268/">mp-625268</a>,<a href="https://materialsproject.org/materials/mp-605437/">mp-605437</a>,33,62,--,0.001,0.045,1.972
<a href="candidate.html?wfid=wfid_1562345079.49749416">wfid_1562345079.49749416</a>,207,CuLiO4P,<a href="https://materialsproject.org/materials/mp-752507/">mp-752507</a>,<a href="https://materialsproject.org/materials/mp-758750/">mp-758750</a>,33,63,--,0.037,1.493,0.115
<a href="candidate.html?wfid=wfid_1562345080.06677653">wfid_1562345080.06677653</a>,206,CuLiO4P,<a href="https://materialsproject.org/materials/mp-757209/">mp-757209</a>,<a href="https://materialsproject.org/materials/mp-25449/">mp-25449</a>,33,62,--,-0.034,1.799,0.304
<a href="candidate.html?wfid=wfid_1562345080.63153360">wfid_1562345080.63153360</a>,3,Ag2BiO3,<a href="https://materialsproject.org/materials/mp-23558/">mp-23558</a>,<a href="https://materialsproject.org/materials/mp-558712/">mp-558712</a>,34,52,--,0.005,0.188,0.384
<a href="candidate.html?wfid=wfid_1562345081.50183207">wfid_1562345081.50183207</a>,134,Ca3Mn2O7,<a href="https://materialsproject.org/materials/mp-19042/">mp-19042</a>,<a href="https://materialsproject.org/materials/mp-19610/">mp-19610</a>,36,63,--,0.010,0.389,0.300
<a href="candidate.html?wfid=wfid_1562345081.65293768">wfid_1562345081.65293768</a>,241,FeHO2,<a href="https://materialsproject.org/materials/mp-626102/">mp-626102</a>,<a href="https://materialsproject.org/materials/mp-743660/">mp-743660</a>,36,63,--,0.030,0.585,1.906
<a href="candidate.html?wfid=wfid_1562345082.98370782">wfid_1562345082.98370782</a>,149,CdTe,<a href="https://materialsproject.org/materials/mp-685146/">mp-685146</a>,<a href="https://materialsproject.org/materials/mp-2388/">mp-2388</a>,36,225,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345083.03981015">wfid_1562345083.03981015</a>,170,ClH,<a href="https://materialsproject.org/materials/mp-632326/">mp-632326</a>,<a href="https://materialsproject.org/materials/mp-23722/">mp-23722</a>,36,225,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345083.08491158">wfid_1562345083.08491158</a>,102,BrH,<a href="https://materialsproject.org/materials/mp-632229/">mp-632229</a>,<a href="https://materialsproject.org/materials/mp-23903/">mp-23903</a>,36,225,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345083.27533748">wfid_1562345083.27533748</a>,200,Cu8O,<a href="https://materialsproject.org/materials/mp-704745/">mp-704745</a>,<a href="https://materialsproject.org/materials/mp-31217/">mp-31217</a>,38,65,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345084.18504979">wfid_1562345084.18504979</a>,226,F7FeNa2Ni,<a href="https://materialsproject.org/materials/mp-566483/">mp-566483</a>,<a href="https://materialsproject.org/materials/mp-558817/">mp-558817</a>,44,74,--,0.000,0.058,2.753
<a href="candidate.html?wfid=wfid_1562345084.61541787">wfid_1562345084.61541787</a>,347,MgRb3,<a href="https://materialsproject.org/materials/mp-974981/">mp-974981</a>,<a href="https://materialsproject.org/materials/mp-974940/">mp-974940</a>,44,139,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345085.05162970">wfid_1562345085.05162970</a>,308,In3Mg,<a href="https://materialsproject.org/materials/mp-973320/">mp-973320</a>,<a href="https://materialsproject.org/materials/mp-973308/">mp-973308</a>,44,139,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345085.09598476">wfid_1562345085.09598476</a>,63,BaFe2S4,<a href="https://materialsproject.org/materials/mp-675078/">mp-675078</a>,<a href="https://materialsproject.org/materials/mp-27660/">mp-27660</a>,79,87,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345085.23366390">wfid_1562345085.23366390</a>,64,BaFe2S4,<a href="https://materialsproject.org/materials/mp-675078/">mp-675078</a>,<a href="https://materialsproject.org/materials/mp-676036/">mp-676036</a>,79,97,--,0.023,0.845,0.000
<a href="candidate.html?wfid=wfid_1562345085.29703104">wfid_1562345085.29703104</a>,62,BaEuFe2O5,<a href="https://materialsproject.org/materials/mp-639347/">mp-639347</a>,<a href="https://materialsproject.org/materials/mp-656144/">mp-656144</a>,99,123,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345085.52036650">wfid_1562345085.52036650</a>,413,U,<a href="https://materialsproject.org/materials/mp-43/">mp-43</a>,<a href="https://materialsproject.org/materials/mp-93/">mp-93</a>,102,136,--,0.011,0.233,0.000
<a href="candidate.html?wfid=wfid_1562345085.83637119">wfid_1562345085.83637119</a>,182,Cr2S3,<a href="https://materialsproject.org/materials/mp-849081/">mp-849081</a>,<a href="https://materialsproject.org/materials/mp-555569/">mp-555569</a>,146,148,--,0.021,0.409,0.046
<a href="candidate.html?wfid=wfid_1562345086.01893685">wfid_1562345086.01893685</a>,168,Cl8Na2Ti3,<a href="https://materialsproject.org/materials/mp-569978/">mp-569978</a>,<a href="https://materialsproject.org/materials/mp-29474/">mp-29474</a>,160,166,--,0.051,0.575,0.441
<a href="candidate.html?wfid=wfid_1562345088.19078870">wfid_1562345088.19078870</a>,41,As2NiTm2,<a href="https://materialsproject.org/materials/mp-568266/">mp-568266</a>,<a href="https://materialsproject.org/materials/mp-11581/">mp-11581</a>,186,194,--,-0.002,0.214,0.000
<a href="candidate.html?wfid=wfid_1562345088.26528020">wfid_1562345088.26528020</a>,368,O11PbV6,<a href="https://materialsproject.org/materials/mp-619128/">mp-619128</a>,<a href="https://materialsproject.org/materials/mp-25790/">mp-25790</a>,186,194,--,0.002,0.395,0.544
<a href="candidate.html?wfid=wfid_1562345088.85588763">wfid_1562345088.85588763</a>,306,ILiO3,<a href="https://materialsproject.org/materials/mp-613442/">mp-613442</a>,<a href="https://materialsproject.org/materials/mp-545343/">mp-545343</a>,173,182,--,0.237,0.720,3.758
<a href="candidate.html?wfid=wfid_1562345088.90631590">wfid_1562345088.90631590</a>,305,ILiO3,<a href="https://materialsproject.org/materials/mp-22955/">mp-22955</a>,<a href="https://materialsproject.org/materials/mp-545343/">mp-545343</a>,173,182,--,0.237,0.635,3.723
<a href="candidate.html?wfid=wfid_1562345088.97236356">wfid_1562345088.97236356</a>,151,CeCuSn,<a href="https://materialsproject.org/materials/mp-22683/">mp-22683</a>,<a href="https://materialsproject.org/materials/mp-22761/">mp-22761</a>,186,194,--,0.009,0.360,0.003
<a href="candidate.html?wfid=wfid_1562345089.00815378">wfid_1562345089.00815378</a>,87,BiCuYb,<a href="https://materialsproject.org/materials/mp-22953/">mp-22953</a>,<a href="https://materialsproject.org/materials/mp-22960/">mp-22960</a>,186,194,--,0.034,0.571,0.000
<a href="candidate.html?wfid=wfid_1562345089.04666899">wfid_1562345089.04666899</a>,203,CuGeYb,<a href="https://materialsproject.org/materials/mp-567768/">mp-567768</a>,<a href="https://materialsproject.org/materials/mp-5111/">mp-5111</a>,186,194,--,0.000,0.051,0.000
<a href="candidate.html?wfid=wfid_1562345089.09864953">wfid_1562345089.09864953</a>,209,CuSbYb,<a href="https://materialsproject.org/materials/mp-11701/">mp-11701</a>,<a href="https://materialsproject.org/materials/mp-9439/">mp-9439</a>,186,194,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345089.18755185">wfid_1562345089.18755185</a>,155,Cl3CrCs,<a href="https://materialsproject.org/materials/mp-610955/">mp-610955</a>,<a href="https://materialsproject.org/materials/mp-570326/">mp-570326</a>,186,194,--,-0.000,0.072,0.000
