Workflow id,Search id,Formula,Polar id,Nonpolar id,Polar Spacegroup,Nonpolar Spacegroup,Polarization,Energy Difference,Max Distortion,Band Gap
<a href="candidate.html?wfid=wfid_1562345060.64209065">wfid_1562345060.64209065</a>,105,C2CoLi2O6,<a href="https://materialsproject.org/materials/mp-765128/">mp-765128</a>,<a href="https://materialsproject.org/materials/mp-763828/">mp-763828</a>,4,14,1.2,-0.025,1.357,2.089
<a href="candidate.html?wfid=wfid_1562345060.79723600">wfid_1562345060.79723600</a>,104,C2CoLi2O6,<a href="https://materialsproject.org/materials/mp-765126/">mp-765126</a>,<a href="https://materialsproject.org/materials/mp-763828/">mp-763828</a>,4,14,4.9,-0.019,1.560,2.136
<a href="candidate.html?wfid=wfid_1562345062.14719002">wfid_1562345062.14719002</a>,270,H2O2Zn,<a href="https://materialsproject.org/materials/mp-625857/">mp-625857</a>,<a href="https://materialsproject.org/materials/mp-625830/">mp-625830</a>,4,19,0.6,-0.002,1.274,2.991
<a href="candidate.html?wfid=wfid_1562345063.14923175">wfid_1562345063.14923175</a>,335,LiNiO4P,<a href="https://materialsproject.org/materials/mp-763217/">mp-763217</a>,<a href="https://materialsproject.org/materials/mp-761990/">mp-761990</a>,4,63,0.4,0.100,2.096,3.947
<a href="candidate.html?wfid=wfid_1562345063.47200918">wfid_1562345063.47200918</a>,334,LiNiO4P,<a href="https://materialsproject.org/materials/mp-763217/">mp-763217</a>,<a href="https://materialsproject.org/materials/mp-762173/">mp-762173</a>,4,62,0.4,0.095,1.505,3.947
<a href="candidate.html?wfid=wfid_1562345063.58842327">wfid_1562345063.58842327</a>,153,Cl2H8MgO12,<a href="https://materialsproject.org/materials/mp-989229/">mp-989229</a>,<a href="https://materialsproject.org/materials/mp-865188/">mp-865188</a>,5,12,1.0,-0.018,1.456,5.184
<a href="candidate.html?wfid=wfid_1562345065.26430213">wfid_1562345065.26430213</a>,276,H2O4Te,<a href="https://materialsproject.org/materials/mp-625526/">mp-625526</a>,<a href="https://materialsproject.org/materials/mp-625513/">mp-625513</a>,7,14,21.9,0.013,1.284,1.693
<a href="candidate.html?wfid=wfid_1562345066.04864776">wfid_1562345066.04864776</a>,290,H5IO6,<a href="https://materialsproject.org/materials/mp-625256/">mp-625256</a>,<a href="https://materialsproject.org/materials/mp-625174/">mp-625174</a>,7,14,28.5,0.005,1.419,2.326
<a href="candidate.html?wfid=wfid_1562345066.41605572">wfid_1562345066.41605572</a>,285,H3O4P,<a href="https://materialsproject.org/materials/mp-626450/">mp-626450</a>,<a href="https://materialsproject.org/materials/mp-626464/">mp-626464</a>,7,14,4.1,0.010,1.379,5.666
<a href="candidate.html?wfid=wfid_1562345066.59186560">wfid_1562345066.59186560</a>,2,Ag2BiO3,<a href="https://materialsproject.org/materials/mp-561113/">mp-561113</a>,<a href="https://materialsproject.org/materials/mp-558712/">mp-558712</a>,7,52,14.5,0.003,0.388,0.510
<a href="candidate.html?wfid=wfid_1562345067.79383899">wfid_1562345067.79383899</a>,287,H4O6Sr,<a href="https://materialsproject.org/materials/mp-625836/">mp-625836</a>,<a href="https://materialsproject.org/materials/mp-625812/">mp-625812</a>,9,15,7.7,-0.038,1.017,3.029
<a href="candidate.html?wfid=wfid_1562345068.05041391">wfid_1562345068.05041391</a>,228,FNbO2,<a href="https://materialsproject.org/materials/mp-752467/">mp-752467</a>,<a href="https://materialsproject.org/materials/mp-35171/">mp-35171</a>,9,15,127.5,0.112,1.571,2.209
<a href="candidate.html?wfid=wfid_1562345068.50494058">wfid_1562345068.50494058</a>,274,H2O4S,<a href="https://materialsproject.org/materials/mp-625474/">mp-625474</a>,<a href="https://materialsproject.org/materials/mp-690733/">mp-690733</a>,9,15,67.4,-0.047,1.503,5.542
<a href="candidate.html?wfid=wfid_1562345069.75195107">wfid_1562345069.75195107</a>,235,Fe4LiO12P3,<a href="https://materialsproject.org/materials/mp-762896/">mp-762896</a>,<a href="https://materialsproject.org/materials/mp-540020/">mp-540020</a>,9,15,16.2,-0.010,1.411,2.215
<a href="candidate.html?wfid=wfid_1562345072.07030301">wfid_1562345072.07030301</a>,77,Bi2MoO6,<a href="https://materialsproject.org/materials/mp-25708/">mp-25708</a>,<a href="https://materialsproject.org/materials/mp-567075/">mp-567075</a>,29,61,7.7,0.045,0.788,2.078
<a href="candidate.html?wfid=wfid_1562345072.66801127">wfid_1562345072.66801127</a>,78,Bi2MoO6,<a href="https://materialsproject.org/materials/mp-25708/">mp-25708</a>,<a href="https://materialsproject.org/materials/mp-567326/">mp-567326</a>,29,64,7.7,0.046,0.492,2.078
<a href="candidate.html?wfid=wfid_1562345073.78468145">wfid_1562345073.78468145</a>,372,O2Sb,<a href="https://materialsproject.org/materials/mp-230/">mp-230</a>,<a href="https://materialsproject.org/materials/mp-560098/">mp-560098</a>,33,52,4.6,0.001,1.467,1.896
<a href="candidate.html?wfid=wfid_1562345074.54062829">wfid_1562345074.54062829</a>,380,O2Si,<a href="https://materialsproject.org/materials/mp-554089/">mp-554089</a>,<a href="https://materialsproject.org/materials/mp-10948/">mp-10948</a>,33,60,89.9,0.252,1.669,5.654
<a href="candidate.html?wfid=wfid_1562345075.11835588">wfid_1562345075.11835588</a>,221,F5FeK2,<a href="https://materialsproject.org/materials/mp-579331/">mp-579331</a>,<a href="https://materialsproject.org/materials/mp-555882/">mp-555882</a>,33,60,0.5,-0.000,0.083,3.665
<a href="candidate.html?wfid=wfid_1562345075.90964892">wfid_1562345075.90964892</a>,161,Cl4CoRb2,<a href="https://materialsproject.org/materials/mp-571242/">mp-571242</a>,<a href="https://materialsproject.org/materials/mp-23076/">mp-23076</a>,33,62,0.1,-0.001,0.272,0.831
<a href="candidate.html?wfid=wfid_1562345076.48947736">wfid_1562345076.48947736</a>,56,Ba2CrO4,<a href="https://materialsproject.org/materials/mp-566511/">mp-566511</a>,<a href="https://materialsproject.org/materials/mp-19703/">mp-19703</a>,33,62,2.7,-0.000,0.097,1.800
<a href="candidate.html?wfid=wfid_1562345078.43784085">wfid_1562345078.43784085</a>,325,LiMnO4P,<a href="https://materialsproject.org/materials/mp-780646/">mp-780646</a>,<a href="https://materialsproject.org/materials/mp-18997/">mp-18997</a>,33,62,13.0,-0.067,1.390,3.153
<a href="candidate.html?wfid=wfid_1562345078.67804385">wfid_1562345078.67804385</a>,323,LiMnO4P,<a href="https://materialsproject.org/materials/mp-761551/">mp-761551</a>,<a href="https://materialsproject.org/materials/mp-868359/">mp-868359</a>,33,62,23.2,0.014,1.680,3.032
<a href="candidate.html?wfid=wfid_1562345079.01940689">wfid_1562345079.01940689</a>,324,LiMnO4P,<a href="https://materialsproject.org/materials/mp-766735/">mp-766735</a>,<a href="https://materialsproject.org/materials/mp-868359/">mp-868359</a>,33,62,5.3,0.030,0.921,3.366
<a href="candidate.html?wfid=wfid_1562345079.15751718">wfid_1562345079.15751718</a>,217,F4FeLi2,<a href="https://materialsproject.org/materials/mp-777471/">mp-777471</a>,<a href="https://materialsproject.org/materials/mp-777588/">mp-777588</a>,33,63,57.2,0.045,1.375,3.561
<a href="candidate.html?wfid=wfid_1562345079.26097922">wfid_1562345079.26097922</a>,344,LiO4SiV,<a href="https://materialsproject.org/materials/mp-767103/">mp-767103</a>,<a href="https://materialsproject.org/materials/mp-767620/">mp-767620</a>,33,62,1.7,0.019,1.875,2.635
<a href="candidate.html?wfid=wfid_1562345079.39507654">wfid_1562345079.39507654</a>,186,CrLiO4P,<a href="https://materialsproject.org/materials/mp-761399/">mp-761399</a>,<a href="https://materialsproject.org/materials/mp-761401/">mp-761401</a>,33,63,38.2,0.028,1.614,2.650
<a href="candidate.html?wfid=wfid_1562345079.60737271">wfid_1562345079.60737271</a>,244,FeLiO4P,<a href="https://materialsproject.org/materials/mp-766763/">mp-766763</a>,<a href="https://materialsproject.org/materials/mp-765913/">mp-765913</a>,33,63,25.2,0.013,1.765,3.320
<a href="candidate.html?wfid=wfid_1562345079.70386079">wfid_1562345079.70386079</a>,328,LiMnO4P,<a href="https://materialsproject.org/materials/mp-780646/">mp-780646</a>,<a href="https://materialsproject.org/materials/mp-765871/">mp-765871</a>,33,63,13.0,0.011,1.952,3.153
<a href="candidate.html?wfid=wfid_1562345080.24041294">wfid_1562345080.24041294</a>,381,O2Si,<a href="https://materialsproject.org/materials/mp-554089/">mp-554089</a>,<a href="https://materialsproject.org/materials/mp-7905/">mp-7905</a>,33,72,89.0,0.415,1.647,5.654
<a href="candidate.html?wfid=wfid_1562345080.29869855">wfid_1562345080.29869855</a>,329,LiMnO4P,<a href="https://materialsproject.org/materials/mp-867520/">mp-867520</a>,<a href="https://materialsproject.org/materials/mp-765871/">mp-765871</a>,33,63,24.6,0.010,1.713,3.015
<a href="candidate.html?wfid=wfid_1562345080.41388803">wfid_1562345080.41388803</a>,382,O2Si,<a href="https://materialsproject.org/materials/mp-554089/">mp-554089</a>,<a href="https://materialsproject.org/materials/mp-10064/">mp-10064</a>,33,225,89.9,1.269,2.383,5.654
<a href="candidate.html?wfid=wfid_1562345081.72797057">wfid_1562345081.72797057</a>,10,Ag2S,<a href="https://materialsproject.org/materials/mp-32669/">mp-32669</a>,<a href="https://materialsproject.org/materials/mp-32791/">mp-32791</a>,36,64,48.9,0.082,0.986,1.376
<a href="candidate.html?wfid=wfid_1562345082.80546132">wfid_1562345082.80546132</a>,101,BrH,<a href="https://materialsproject.org/materials/mp-632229/">mp-632229</a>,<a href="https://materialsproject.org/materials/mp-634105/">mp-634105</a>,36,69,72.5,0.319,2.492,4.759
<a href="candidate.html?wfid=wfid_1562345091.69966218">wfid_1562345091.69966218</a>,219,F4LiV,<a href="https://materialsproject.org/materials/mp-764895/">mp-764895</a>,<a href="https://materialsproject.org/materials/mp-766952/">mp-766952</a>,4,10,47.8,0.049,1.619,2.303
<a href="candidate.html?wfid=wfid_1562345092.81949641">wfid_1562345092.81949641</a>,242,FeLi2O4Si,<a href="https://materialsproject.org/materials/mp-764344/">mp-764344</a>,<a href="https://materialsproject.org/materials/mp-762566/">mp-762566</a>,4,20,76.1,-0.013,1.914,2.983
<a href="candidate.html?wfid=wfid_1562345098.08585876">wfid_1562345098.08585876</a>,336,LiNiO4P,<a href="https://materialsproject.org/materials/mp-763061/">mp-763061</a>,<a href="https://materialsproject.org/materials/mp-32324/">mp-32324</a>,33,63,7.2,-0.065,0.869,3.122
<a href="candidate.html?wfid=wfid_1562345098.77384901">wfid_1562345098.77384901</a>,340,LiO12P3W2,<a href="https://materialsproject.org/materials/mp-763531/">mp-763531</a>,<a href="https://materialsproject.org/materials/mp-763372/">mp-763372</a>,5,167,5.1,0.002,0.798,2.523
<a href="candidate.html?wfid=wfid_1562345099.64867399">wfid_1562345099.64867399</a>,243,FeLiO4P,<a href="https://materialsproject.org/materials/mp-762593/">mp-762593</a>,<a href="https://materialsproject.org/materials/mp-765913/">mp-765913</a>,33,63,5.2,0.016,1.175,3.407
<a href="candidate.html?wfid=wfid_1562345102.34349984">wfid_1562345102.34349984</a>,343,LiO4PV,<a href="https://materialsproject.org/materials/mp-765022/">mp-765022</a>,<a href="https://materialsproject.org/materials/mp-32425/">mp-32425</a>,33,63,0.1,-0.002,0.136,2.667
<a href="candidate.html?wfid=wfid_1562345102.64344909">wfid_1562345102.64344909</a>,327,LiMnO4P,<a href="https://materialsproject.org/materials/mp-766735/">mp-766735</a>,<a href="https://materialsproject.org/materials/mp-31939/">mp-31939</a>,33,63,5.3,-0.037,1.031,3.367
<a href="candidate.html?wfid=wfid_1562345104.59178493">wfid_1562345104.59178493</a>,376,O2Si,<a href="https://materialsproject.org/materials/mp-553881/">mp-553881</a>,<a href="https://materialsproject.org/materials/mp-10948/">mp-10948</a>,7,60,270.6,-0.106,1.554,3.597
<a href="candidate.html?wfid=wfid_1562345105.85799320">wfid_1562345105.85799320</a>,339,LiNiO4P,<a href="https://materialsproject.org/materials/mp-868169/">mp-868169</a>,<a href="https://materialsproject.org/materials/mp-32324/">mp-32324</a>,33,63,0.2,-0.001,0.085,3.364
<a href="candidate.html?wfid=wfid_1562345108.33484522">wfid_1562345108.33484522</a>,50,B7ClCr3O13,<a href="https://materialsproject.org/materials/mp-579770/">mp-579770</a>,<a href="https://materialsproject.org/materials/mp-566691/">mp-566691</a>,29,219,1.6,0.000,0.097,2.683
<a href="candidate.html?wfid=wfid_1562345109.86187522">wfid_1562345109.86187522</a>,8,Ag2S,<a href="https://materialsproject.org/materials/mp-38511/">mp-38511</a>,<a href="https://materialsproject.org/materials/mp-32791/">mp-32791</a>,7,64,50.2,0.045,1.637,0.121
