Workflow id,Search id,Formula,Polar id,Nonpolar id,Polar Spacegroup,Nonpolar Spacegroup,Polarization,Energy Difference,Max Distortion,Band Gap
<a href="candidate.html?wfid=wfid_1562199295.62978167">wfid_1562199295.62978167</a>,260,H2MoO4,<a href="https://materialsproject.org/materials/mp-625600/">mp-625600</a>,<a href="https://materialsproject.org/materials/mp-626577/">mp-626577</a>,1,2,0.2,-0.001,0.389,3.204
<a href="candidate.html?wfid=wfid_1562199295.69225680">wfid_1562199295.69225680</a>,32,AlH3O3,<a href="https://materialsproject.org/materials/mp-626435/">mp-626435</a>,<a href="https://materialsproject.org/materials/mp-626414/">mp-626414</a>,1,2,0.1,0.010,0.399,5.011
<a href="candidate.html?wfid=wfid_1562199295.77439317">wfid_1562199295.77439317</a>,262,H2MoO4,<a href="https://materialsproject.org/materials/mp-626586/">mp-626586</a>,<a href="https://materialsproject.org/materials/mp-626577/">mp-626577</a>,1,2,16.3,-0.077,1.236,2.143
<a href="candidate.html?wfid=wfid_1562199295.82524035">wfid_1562199295.82524035</a>,266,H2O10U3,<a href="https://materialsproject.org/materials/mp-626114/">mp-626114</a>,<a href="https://materialsproject.org/materials/mp-626104/">mp-626104</a>,1,2,23.0,0.034,1.320,1.848
<a href="candidate.html?wfid=wfid_1562199295.87807235">wfid_1562199295.87807235</a>,267,H2O10U3,<a href="https://materialsproject.org/materials/mp-626114/">mp-626114</a>,<a href="https://materialsproject.org/materials/mp-626062/">mp-626062</a>,1,2,23.0,-0.034,0.643,1.848
<a href="candidate.html?wfid=wfid_1562199296.04072234">wfid_1562199296.04072234</a>,295,HNaO,<a href="https://materialsproject.org/materials/mp-626000/">mp-626000</a>,<a href="https://materialsproject.org/materials/mp-23940/">mp-23940</a>,4,11,10.7,0.002,0.198,2.988
<a href="candidate.html?wfid=wfid_1562199296.07296394">wfid_1562199296.07296394</a>,261,H2MoO4,<a href="https://materialsproject.org/materials/mp-626582/">mp-626582</a>,<a href="https://materialsproject.org/materials/mp-626577/">mp-626577</a>,1,2,39.2,-0.048,1.060,2.512
<a href="candidate.html?wfid=wfid_1562199296.16002539">wfid_1562199296.16002539</a>,86,BiCuO8W2,<a href="https://materialsproject.org/materials/mp-565192/">mp-565192</a>,<a href="https://materialsproject.org/materials/mp-615173/">mp-615173</a>,1,2,0.8,0.000,0.051,1.326
<a href="candidate.html?wfid=wfid_1562199296.21214937">wfid_1562199296.21214937</a>,108,C3ClH10NO4,<a href="https://materialsproject.org/materials/mp-554570/">mp-554570</a>,<a href="https://materialsproject.org/materials/mp-560498/">mp-560498</a>,4,11,0.3,-0.000,0.275,5.613
<a href="candidate.html?wfid=wfid_1562199296.32626762">wfid_1562199296.32626762</a>,192,Cs2HgI4,<a href="https://materialsproject.org/materials/mp-567594/">mp-567594</a>,<a href="https://materialsproject.org/materials/mp-28421/">mp-28421</a>,4,11,0.3,-0.001,0.075,2.114
<a href="candidate.html?wfid=wfid_1562199296.55106864">wfid_1562199296.55106864</a>,100,Br4K2Zn,<a href="https://materialsproject.org/materials/mp-23535/">mp-23535</a>,<a href="https://materialsproject.org/materials/mp-23495/">mp-23495</a>,4,11,1.9,0.001,0.140,3.674
