Workflow id,Search id,Formula,Polar id,Nonpolar id,Polar Spacegroup,Nonpolar Spacegroup,Polarization,Energy Difference,Max Distortion,Band Gap
<a href="candidate.html?wfid=wfid_1562199295.93469828">wfid_1562199295.93469828</a>,230,Fe2Li3O12P3,<a href="https://materialsproject.org/materials/mp-762728/">mp-762728</a>,<a href="https://materialsproject.org/materials/mp-853256/">mp-853256</a>,1,2,--,0.009,1.471,2.456
<a href="candidate.html?wfid=wfid_1562199296.38256579">wfid_1562199296.38256579</a>,369,O13V7,<a href="https://materialsproject.org/materials/mp-715598/">mp-715598</a>,<a href="https://materialsproject.org/materials/mp-556332/">mp-556332</a>,1,2,--,-0.002,0.274,0.547
<a href="candidate.html?wfid=wfid_1562345062.56056403">wfid_1562345062.56056403</a>,176,CoLiO4P,<a href="https://materialsproject.org/materials/mp-761753/">mp-761753</a>,<a href="https://materialsproject.org/materials/mp-761979/">mp-761979</a>,4,62,--,0.005,1.655,2.620
<a href="candidate.html?wfid=wfid_1562345066.80008603">wfid_1562345066.80008603</a>,232,Fe3O4,<a href="https://materialsproject.org/materials/mp-612405/">mp-612405</a>,<a href="https://materialsproject.org/materials/mp-715614/">mp-715614</a>,8,12,--,0.003,0.347,1.043
<a href="candidate.html?wfid=wfid_1562345067.15640753">wfid_1562345067.15640753</a>,377,O2Si,<a href="https://materialsproject.org/materials/mp-553881/">mp-553881</a>,<a href="https://materialsproject.org/materials/mp-10064/">mp-10064</a>,7,225,--,0.911,2.086,3.597
<a href="candidate.html?wfid=wfid_1562345067.95646032">wfid_1562345067.95646032</a>,396,O3V2,<a href="https://materialsproject.org/materials/mp-553955/">mp-553955</a>,<a href="https://materialsproject.org/materials/mp-715514/">mp-715514</a>,9,15,--,-0.617,1.717,0.990
<a href="candidate.html?wfid=wfid_1562345070.95947283">wfid_1562345070.95947283</a>,332,LiNi4O12P3,<a href="https://materialsproject.org/materials/mp-868339/">mp-868339</a>,<a href="https://materialsproject.org/materials/mp-868378/">mp-868378</a>,9,15,--,0.005,1.515,2.530
<a href="candidate.html?wfid=wfid_1562345071.21174354">wfid_1562345071.21174354</a>,298,HO2V,<a href="https://materialsproject.org/materials/mp-626791/">mp-626791</a>,<a href="https://materialsproject.org/materials/mp-626796/">mp-626796</a>,26,62,--,0.005,0.134,1.504
<a href="candidate.html?wfid=wfid_1562345071.60128680">wfid_1562345071.60128680</a>,299,HO2V,<a href="https://materialsproject.org/materials/mp-626791/">mp-626791</a>,<a href="https://materialsproject.org/materials/mp-626787/">mp-626787</a>,26,62,--,-0.003,0.149,1.504
<a href="candidate.html?wfid=wfid_1562345073.19170804">wfid_1562345073.19170804</a>,184,CrLi3O4,<a href="https://materialsproject.org/materials/mp-770632/">mp-770632</a>,<a href="https://materialsproject.org/materials/mp-777303/">mp-777303</a>,31,65,--,0.086,2.310,1.133
