Workflow id,Formula,Polar id,Nonpolar id,Polar Spacegroup,Nonpolar Spacegroup,Polarization,Energy Difference,Max Distortion,Band Gap
<a href="candidate.html?wfid=wfid_1476040378.192845">wfid_1476040378.192845</a>,VHO2,<a href="https://materialsproject.org/materials/mp-626791/">mp-626791</a>,<a href="https://materialsproject.org/materials/mp-626796/">mp-626796</a>,26,62,--,0.005,0.133,1.524
<a href="candidate.html?wfid=wfid_1476040387.364583">wfid_1476040387.364583</a>,Fe3O4,<a href="https://materialsproject.org/materials/mp-715275/">mp-715275</a>,<a href="https://materialsproject.org/materials/mp-18731/">mp-18731</a>,26,63,--,-0.004,0.170,0.570
<a href="candidate.html?wfid=wfid_1476041060.121060">wfid_1476041060.121060</a>,LiMnO2,<a href="https://materialsproject.org/materials/mp-775531/">mp-775531</a>,<a href="https://materialsproject.org/materials/mp-775236/">mp-775236</a>,9,12,--,-0.041,1.868,0.938
<a href="candidate.html?wfid=wfid_1476040168.098226">wfid_1476040168.098226</a>,FeHO2,<a href="https://materialsproject.org/materials/mp-625314/">mp-625314</a>,<a href="https://materialsproject.org/materials/mp-605437/">mp-605437</a>,4,62,--,-0.008,2.006,1.987
<a href="candidate.html?wfid=wfid_1476040422.319987">wfid_1476040422.319987</a>,Li3CrO4,<a href="https://materialsproject.org/materials/mp-770632/">mp-770632</a>,<a href="https://materialsproject.org/materials/mp-777303/">mp-777303</a>,31,65,--,0.087,2.311,1.124
<a href="candidate.html?wfid=wfid_1476040308.194861">wfid_1476040308.194861</a>,V2O3,<a href="https://materialsproject.org/materials/mp-553955/">mp-553955</a>,<a href="https://materialsproject.org/materials/mp-715514/">mp-715514</a>,9,15,--,-0.618,1.708,0.971
<a href="candidate.html?wfid=wfid_1476040337.20542">wfid_1476040337.20542</a>,LiCu4(PO4)3,<a href="https://materialsproject.org/materials/mp-761193/">mp-761193</a>,<a href="https://materialsproject.org/materials/mp-26741/">mp-26741</a>,9,15,--,-0.033,1.936,0.029
<a href="candidate.html?wfid=wfid_1484694883.344308">wfid_1484694883.344308</a>,Ca(FeO2)2,<a href="https://materialsproject.org/materials/mvc-12583/">mvc-12583</a>,<a href="https://materialsproject.org/materials/mvc-8188/">mvc-8188</a>,8,12,--,0.027,1.154,1.534
<a href="candidate.html?wfid=wfid_1476040806.216647">wfid_1476040806.216647</a>,LiMnPO4,<a href="https://materialsproject.org/materials/mp-780646/">mp-780646</a>,<a href="https://materialsproject.org/materials/mp-765871/">mp-765871</a>,33,63,--,0.011,1.951,3.130
<a href="candidate.html?wfid=wfid_1476040210.776690">wfid_1476040210.776690</a>,RbCuCl3,<a href="https://materialsproject.org/materials/mp-571305/">mp-571305</a>,<a href="https://materialsproject.org/materials/mp-568857/">mp-568857</a>,5,15,--,0.000,0.059,0.307
<a href="candidate.html?wfid=wfid_1476041018.244845">wfid_1476041018.244845</a>,AlN,<a href="https://materialsproject.org/materials/mp-661/">mp-661</a>,<a href="https://materialsproject.org/materials/mp-13178/">mp-13178</a>,186,194,--,0.115,0.665,4.054
<a href="candidate.html?wfid=wfid_1484694892.47145">wfid_1484694892.47145</a>,V2O3,<a href="https://materialsproject.org/materials/mp-553955/">mp-553955</a>,<a href="https://materialsproject.org/materials/mp-714906/">mp-714906</a>,9,167,--,0.009,0.958,0.972
<a href="candidate.html?wfid=wfid_1484445048.335489">wfid_1484445048.335489</a>,YMnO3,<a href="https://materialsproject.org/materials/mvc-16316/">mvc-16316</a>,<a href="https://materialsproject.org/materials/mvc-11553/">mvc-11553</a>,185,194,--,0.020,0.352,0.010
<a href="candidate.html?wfid=wfid_1484445244.598026">wfid_1484445244.598026</a>,LiMnPO4,<a href="https://materialsproject.org/materials/mp-690866/">mp-690866</a>,<a href="https://materialsproject.org/materials/mp-868359/">mp-868359</a>,4,62,--,0.041,2.555,3.406
<a href="candidate.html?wfid=wfid_1476040163.332493">wfid_1476040163.332493</a>,FeHO2,<a href="https://materialsproject.org/materials/mp-625314/">mp-625314</a>,<a href="https://materialsproject.org/materials/mp-625269/">mp-625269</a>,4,19,--,-0.005,1.687,1.987
<a href="candidate.html?wfid=wfid_1476041138.340589">wfid_1476041138.340589</a>,Li2CoSiO4,<a href="https://materialsproject.org/materials/mp-764958/">mp-764958</a>,<a href="https://materialsproject.org/materials/mp-764956/">mp-764956</a>,4,20,--,-0.005,1.879,2.971
<a href="candidate.html?wfid=wfid_1476041054.047338">wfid_1476041054.047338</a>,RbVBr3,<a href="https://materialsproject.org/materials/mp-29314/">mp-29314</a>,<a href="https://materialsproject.org/materials/mp-570099/">mp-570099</a>,185,194,--,0.000,0.235,0.622
<a href="candidate.html?wfid=wfid_1484694901.319510">wfid_1484694901.319510</a>,Li2CuF4,<a href="https://materialsproject.org/materials/mp-753171/">mp-753171</a>,<a href="https://materialsproject.org/materials/mp-753123/">mp-753123</a>,7,64,--,0.010,1.472,0.580
<a href="candidate.html?wfid=wfid_1476040180.992066">wfid_1476040180.992066</a>,LiNiPO4,<a href="https://materialsproject.org/materials/mp-763217/">mp-763217</a>,<a href="https://materialsproject.org/materials/mp-762173/">mp-762173</a>,4,62,--,0.095,1.504,3.967
<a href="candidate.html?wfid=wfid_1484694857.93460">wfid_1484694857.93460</a>,Zn(FeO2)2,<a href="https://materialsproject.org/materials/mvc-12661/">mvc-12661</a>,<a href="https://materialsproject.org/materials/mvc-15076/">mvc-15076</a>,6,62,--,0.002,0.162,1.631
<a href="candidate.html?wfid=wfid_1476040381.269991">wfid_1476040381.269991</a>,VHO2,<a href="https://materialsproject.org/materials/mp-626791/">mp-626791</a>,<a href="https://materialsproject.org/materials/mp-626787/">mp-626787</a>,26,62,--,-0.004,0.154,1.524
<a href="candidate.html?wfid=wfid_1476040971.018097">wfid_1476040971.018097</a>,Cr2S3,<a href="https://materialsproject.org/materials/mp-849081/">mp-849081</a>,<a href="https://materialsproject.org/materials/mp-555569/">mp-555569</a>,146,148,--,0.047,0.028,0.077
<a href="candidate.html?wfid=wfid_1476040288.221865">wfid_1476040288.221865</a>,Fe3O4,<a href="https://materialsproject.org/materials/mp-612405/">mp-612405</a>,<a href="https://materialsproject.org/materials/mp-715614/">mp-715614</a>,8,12,--,-0.017,0.303,0.634
<a href="candidate.html?wfid=wfid_1476040174.338651">wfid_1476040174.338651</a>,LiCoPO4,<a href="https://materialsproject.org/materials/mp-761753/">mp-761753</a>,<a href="https://materialsproject.org/materials/mp-18915/">mp-18915</a>,4,62,--,-0.038,0.996,2.631
<a href="candidate.html?wfid=wfid_1484445117.760364">wfid_1484445117.760364</a>,BC2N,<a href="https://materialsproject.org/materials/mp-629458/">mp-629458</a>,<a href="https://materialsproject.org/materials/mp-1008523/">mp-1008523</a>,25,115,--,0.459,1.283,1.830
<a href="candidate.html?wfid=wfid_1476040171.044489">wfid_1476040171.044489</a>,LiCoPO4,<a href="https://materialsproject.org/materials/mp-761753/">mp-761753</a>,<a href="https://materialsproject.org/materials/mp-761979/">mp-761979</a>,4,62,--,0.005,1.654,2.630
<a href="candidate.html?wfid=wfid_1476041063.296832">wfid_1476041063.296832</a>,ScFeO3,<a href="https://materialsproject.org/materials/mp-771123/">mp-771123</a>,<a href="https://materialsproject.org/materials/mp-769970/">mp-769970</a>,185,194,--,0.015,0.460,0.918
<a href="candidate.html?wfid=wfid_1476041021.053019">wfid_1476041021.053019</a>,NaV6O11,<a href="https://materialsproject.org/materials/mp-25156/">mp-25156</a>,<a href="https://materialsproject.org/materials/mp-510616/">mp-510616</a>,186,194,--,-0.000,0.259,0.288
<a href="candidate.html?wfid=wfid_1484694868.657726">wfid_1484694868.657726</a>,Ca(FeO2)2,<a href="https://materialsproject.org/materials/mvc-12582/">mvc-12582</a>,<a href="https://materialsproject.org/materials/mvc-8188/">mvc-8188</a>,8,12,--,0.027,1.114,1.534
<a href="candidate.html?wfid=wfid_1476041066.578918">wfid_1476041066.578918</a>,RbMnBr3,<a href="https://materialsproject.org/materials/mp-568231/">mp-568231</a>,<a href="https://materialsproject.org/materials/mp-29763/">mp-29763</a>,185,194,--,0.001,0.476,1.226
<a href="candidate.html?wfid=wfid_1484694871.692861">wfid_1484694871.692861</a>,Co(SiO3)2,<a href="https://materialsproject.org/materials/mvc-15005/">mvc-15005</a>,<a href="https://materialsproject.org/materials/mvc-11366/">mvc-11366</a>,5,15,--,0.003,0.110,0.443
<a href="candidate.html?wfid=wfid_1476040750.534312">wfid_1476040750.534312</a>,FeHO2,<a href="https://materialsproject.org/materials/mp-625268/">mp-625268</a>,<a href="https://materialsproject.org/materials/mp-625233/">mp-625233</a>,33,62,--,-0.002,1.808,1.947
<a href="candidate.html?wfid=wfid_1476041091.981586">wfid_1476041091.981586</a>,BaMnO3,<a href="https://materialsproject.org/materials/mp-19267/">mp-19267</a>,<a href="https://materialsproject.org/materials/mp-19156/">mp-19156</a>,185,194,--,0.007,0.571,2.082
<a href="candidate.html?wfid=wfid_1476040145.86821">wfid_1476040145.86821</a>,LiMn2F7,<a href="https://materialsproject.org/materials/mp-765204/">mp-765204</a>,<a href="https://materialsproject.org/materials/mp-763085/">mp-763085</a>,4,14,--,-0.013,0.896,0.432
<a href="candidate.html?wfid=wfid_1476040365.418903">wfid_1476040365.418903</a>,Fe3O4,<a href="https://materialsproject.org/materials/mp-715275/">mp-715275</a>,<a href="https://materialsproject.org/materials/mp-541907/">mp-541907</a>,26,57,--,0.051,1.371,0.570
<a href="candidate.html?wfid=wfid_1476040862.672522">wfid_1476040862.672522</a>,FeHO2,<a href="https://materialsproject.org/materials/mp-626102/">mp-626102</a>,<a href="https://materialsproject.org/materials/mp-743660/">mp-743660</a>,36,63,--,0.030,0.560,1.900
<a href="candidate.html?wfid=wfid_1476040747.662546">wfid_1476040747.662546</a>,FeHO2,<a href="https://materialsproject.org/materials/mp-625268/">mp-625268</a>,<a href="https://materialsproject.org/materials/mp-605437/">mp-605437</a>,33,62,--,-0.033,0.478,1.926
<a href="candidate.html?wfid=wfid_1484444929.530167">wfid_1484444929.530167</a>,YMnO3,<a href="https://materialsproject.org/materials/mp-19385/">mp-19385</a>,<a href="https://materialsproject.org/materials/mvc-11553/">mvc-11553</a>,185,194,--,0.020,0.351,0.011
<a href="candidate.html?wfid=wfid_1484444926.227909">wfid_1484444926.227909</a>,YMnO3,<a href="https://materialsproject.org/materials/mp-19385/">mp-19385</a>,<a href="https://materialsproject.org/materials/mp-19227/">mp-19227</a>,185,194,--,0.020,0.351,0.011
<a href="candidate.html?wfid=wfid_1476040847.792476">wfid_1476040847.792476</a>,Li2VOF4,<a href="https://materialsproject.org/materials/mp-764695/">mp-764695</a>,<a href="https://materialsproject.org/materials/mp-780857/">mp-780857</a>,36,63,--,-0.010,1.200,1.605
<a href="candidate.html?wfid=wfid_1484445307.833677">wfid_1484445307.833677</a>,H5NO2,<a href="https://materialsproject.org/materials/mp-625109/">mp-625109</a>,<a href="https://materialsproject.org/materials/mp-625108/">mp-625108</a>,7,14,--,0.002,0.768,1.702
<a href="candidate.html?wfid=wfid_1484445045.416920">wfid_1484445045.416920</a>,YMnO3,<a href="https://materialsproject.org/materials/mvc-16316/">mvc-16316</a>,<a href="https://materialsproject.org/materials/mp-19227/">mp-19227</a>,185,194,--,0.020,0.352,0.010
